#{"t_start": 1740679402.3794188, "env_id": "Pong-v4"}
r,l,t
-21.0,303,4.645465
-21.0,263,6.651349
-20.0,333,9.209669
-20.0,302,11.486978
-20.0,318,13.866681
-20.0,299,16.056162
-20.0,287,18.23199
-21.0,317,20.732266
-21.0,269,22.80822
-21.0,272,25.013634
-21.0,274,27.127663
-21.0,300,29.408141
-21.0,302,31.652913
-21.0,321,34.23377
-21.0,255,36.109113
-21.0,336,38.67904
-20.0,288,40.772128
-19.0,328,43.15279
-21.0,264,45.25543
-21.0,294,47.438675
-19.0,377,50.327208
-21.0,262,52.255008
-20.0,345,54.892805
-21.0,302,57.135078
-19.0,366,60.200359
-21.0,280,62.300997
-21.0,249,64.149403
-20.0,317,66.54145
-20.0,338,69.050911
-20.0,320,71.510091
-21.0,330,73.914686
-20.0,340,76.50754
-21.0,286,78.616984
-19.0,345,81.278529
-21.0,252,83.189399
-21.0,279,85.280171
-19.0,319,87.705437
-20.0,285,89.818602
-21.0,269,91.936388
-21.0,348,94.522687
-21.0,269,96.527285
-21.0,285,98.654727
-20.0,304,100.881384
-21.0,269,102.960132
-21.0,277,104.978272
-21.0,267,107.02538
-20.0,299,109.245251
-21.0,284,111.35952
-19.0,346,113.988914
-20.0,310,116.256831
-21.0,295,118.501318
-21.0,290,120.691303
-21.0,299,122.983115
-21.0,284,125.219307
-21.0,279,127.314843
-20.0,302,129.719755
-21.0,285,132.089565
-20.0,340,134.73264
-19.0,339,137.364402
-21.0,281,139.576944
-20.0,302,141.920118
-19.0,350,144.637892
-21.0,301,146.860127
-19.0,342,149.502244
-21.0,279,151.583273
-20.0,277,153.678629
-20.0,278,155.94741
-20.0,287,158.089191
-20.0,383,161.035824
-21.0,275,163.139197
-21.0,267,165.170374
-20.0,302,167.440449
-21.0,279,169.687936
-20.0,282,171.787848
-21.0,316,174.133258
-21.0,273,176.21807
-21.0,269,178.231439
-18.0,365,180.983809
-20.0,300,183.204214
-21.0,313,185.597366
-21.0,292,187.769584
-21.0,258,189.698522
-20.0,331,192.218947
-21.0,278,194.32605
-20.0,290,196.580374
-21.0,245,198.485227
-21.0,255,200.616282
-21.0,256,202.505211
-21.0,290,204.673524
-19.0,308,207.012846
-21.0,265,209.011324
-21.0,286,211.1945
-21.0,256,213.116228
-21.0,289,215.284699
-21.0,285,217.490837
-21.0,277,219.626035
-21.0,267,221.930439
-21.0,257,223.873193
-21.0,261,225.846716
-21.0,249,227.801784
-21.0,260,229.74392
-21.0,269,231.834117
-21.0,334,234.350618
-21.0,246,236.244259
-20.0,314,238.677695
-21.0,318,241.211171
-21.0,244,243.409736
-19.0,316,245.905563
-21.0,273,248.056118
-20.0,293,250.337785
-20.0,312,252.824993
-20.0,349,255.590263
-20.0,333,258.148968
-21.0,298,260.461329
-20.0,305,263.094018
-21.0,265,265.27404
-21.0,285,267.606163
-21.0,252,269.586581
-21.0,301,271.928506
-19.0,375,274.883309
-21.0,288,277.101076
-21.0,259,279.293523
-21.0,266,281.281555
-20.0,304,283.591827
-21.0,339,286.229009
-21.0,344,288.910662
-20.0,293,291.181665
-20.0,299,293.450233
-20.0,269,295.648287
-21.0,303,297.980561
-20.0,296,300.323663
-20.0,292,302.602627
-21.0,296,304.932288
-21.0,316,307.399841
-19.0,338,310.038341
-21.0,260,312.054587
-20.0,369,314.942723
-19.0,408,318.047988
-21.0,244,319.91344
-21.0,270,322.067856
-20.0,318,324.497377
-21.0,308,326.955645
-20.0,282,329.168711
-19.0,339,331.871248
-21.0,284,334.058918
-20.0,286,336.325998
-21.0,274,338.475523
-20.0,303,340.795662
-21.0,354,343.578797
-19.0,316,346.023622
-19.0,373,348.878573
-21.0,296,351.19124
-21.0,269,353.318599
-21.0,296,355.590203
-20.0,319,358.11178
-21.0,294,360.330628
-20.0,321,362.886583
-19.0,336,365.461541
-21.0,288,367.739376
-20.0,340,370.385926
-21.0,290,372.738399
-20.0,314,375.249547
-20.0,300,377.748845
-20.0,316,380.273168
-21.0,287,382.642084
-21.0,261,384.77166
-20.0,319,387.356997
-21.0,259,389.52386
-21.0,286,391.756588
-21.0,268,393.905311
-18.0,333,396.484541
-21.0,334,399.191595
-21.0,295,401.477244
-18.0,348,404.250498
-21.0,316,406.787118
-21.0,250,408.902261
-21.0,322,411.508462
-21.0,340,414.264946
-20.0,290,416.545584
-20.0,301,419.08983
-21.0,286,421.390603
-21.0,258,423.652338
-20.0,286,426.081857
-21.0,292,428.309457
-21.0,247,430.332501
-20.0,328,432.846737
-20.0,279,435.09568
-21.0,256,437.0596
-21.0,254,439.079489
-20.0,326,441.716608
-20.0,318,444.151689
-20.0,344,446.901196
-20.0,371,449.799875
-20.0,303,452.232522
-21.0,255,454.188327
-21.0,245,456.154305
-21.0,279,458.291304
-19.0,326,460.890282
-21.0,340,463.52088
-21.0,276,465.706971
-21.0,282,467.929573
-20.0,327,470.639918
-21.0,308,473.155183
-21.0,273,475.350957
-21.0,249,477.445278
-21.0,245,479.354036
-19.0,353,482.278529
-21.0,302,484.660594
-20.0,321,487.414468
-18.0,378,490.393986
-20.0,334,493.064147
-21.0,318,495.657216
-21.0,267,497.829094
-21.0,251,500.177922
-21.0,325,502.960395
-21.0,329,505.534528
-21.0,274,507.684517
-21.0,270,509.888039
-21.0,351,512.627715
-20.0,322,515.235638
-19.0,305,517.580936
-21.0,248,519.61121
-21.0,266,521.674942
-21.0,255,523.734749
-21.0,249,525.694632
-20.0,290,527.985073
-20.0,313,530.543728
-21.0,262,532.583821
-20.0,279,534.897077
-19.0,321,537.423683
-20.0,320,540.011887
-21.0,292,542.3175
-20.0,313,544.799689
-21.0,336,547.434138
-21.0,269,549.581985
-20.0,326,552.15948
-19.0,356,555.084136
-20.0,279,557.273307
-19.0,341,560.056103
-21.0,340,562.724871
-21.0,250,564.685956
-21.0,314,567.235981
-21.0,291,569.556247
-19.0,322,572.188686
-21.0,284,574.520777
-21.0,281,576.873539
-21.0,286,579.098918
-20.0,279,581.341166
-19.0,344,584.041438
-21.0,304,586.51353
-20.0,317,588.960901
-21.0,268,591.171257
-21.0,286,593.45753
-21.0,304,595.890748
-21.0,294,598.358891
-21.0,279,600.589021
-20.0,301,603.04278
-20.0,320,605.778259
-19.0,337,608.598323
-21.0,297,610.980859
-21.0,256,613.074203
-21.0,309,615.517874
-17.0,400,618.726543
-20.0,338,621.455396
-21.0,268,623.659985
-21.0,301,626.086083
-21.0,270,628.308267
-21.0,284,630.568147
-20.0,304,633.05792
-21.0,284,635.348921
-21.0,290,637.724821
-21.0,261,639.823503
-20.0,313,642.264183
-21.0,273,644.533046
-20.0,289,646.818279
-20.0,294,649.189794
-19.0,328,651.802346
-21.0,279,654.063331
-20.0,290,656.322455
-20.0,303,658.870018
-21.0,299,661.320219
-20.0,323,663.994764
-21.0,262,666.201143
-20.0,315,668.908108
-21.0,253,671.037334
-19.0,363,674.013808
-21.0,293,676.399495
-20.0,321,679.153614
-20.0,393,682.321918
-20.0,351,685.251899
-20.0,304,687.678686
-21.0,276,689.944794
-19.0,373,692.93382
-21.0,299,695.454918
-21.0,274,697.647715
-20.0,341,700.603846
-20.0,314,703.091215
-21.0,272,705.319746
-21.0,265,707.426681
-21.0,313,710.046168
-21.0,253,712.180235
-20.0,286,714.534059
-21.0,250,716.626863
-21.0,302,719.093434
-20.0,295,721.491606
-20.0,346,724.407465
-21.0,295,726.830889
-20.0,312,729.301371
-20.0,343,732.071684
-20.0,318,734.60258
-21.0,323,737.223486
-21.0,275,739.388611
-21.0,251,741.430173
-21.0,282,743.745413
-21.0,265,745.874534
-21.0,356,748.795032
-20.0,335,751.53207
-20.0,300,754.048209
-20.0,302,756.536585
-21.0,315,759.150686
-21.0,266,761.285302
-21.0,252,763.388797
-21.0,329,766.169432
-20.0,327,768.784332
-21.0,278,771.019662
-21.0,303,773.455261
-19.0,321,776.016677
-20.0,296,778.439835
-20.0,299,780.8226
-21.0,308,783.370713
-21.0,323,785.958125
-21.0,270,788.478943
-21.0,256,790.591862
-20.0,357,793.463097
-21.0,293,795.818811
-20.0,285,798.055193
-21.0,319,800.663237
-20.0,271,802.829463
-21.0,252,804.903608
-19.0,375,807.877475
-19.0,354,810.751216
-20.0,290,813.057346
-21.0,320,815.652283
-21.0,294,818.017208
-21.0,282,820.328949
-19.0,309,822.743851
-21.0,285,825.050808
-21.0,254,827.130184
-19.0,328,829.78677
-20.0,310,832.292594
-19.0,298,834.624882
-20.0,376,837.688326
-20.0,353,840.545207
-21.0,266,842.744556
-21.0,289,845.069584
-21.0,272,847.407756
-19.0,317,849.944686
-21.0,306,852.592062
-18.0,399,856.005544
-20.0,306,858.462477
-21.0,273,860.661806
-19.0,334,863.385341
-21.0,286,865.698965
-21.0,297,868.164097
-21.0,269,870.373569
-21.0,294,873.355242
-21.0,289,876.052237
-20.0,332,878.770622
-19.0,328,881.452275
-20.0,293,884.044232
-21.0,363,886.919045
-20.0,293,889.329636
-21.0,267,891.453336
-20.0,314,894.073056
-19.0,339,896.809717
-21.0,284,899.362959
-21.0,287,901.738465
-20.0,327,904.415601
-21.0,256,906.5955
-21.0,265,908.790357
-21.0,293,911.294079
-20.0,305,913.808597
-21.0,260,915.876353
-20.0,326,918.497562
-21.0,261,920.949946
-21.0,268,923.349825
-19.0,318,925.914147
-21.0,291,928.261133
-21.0,269,930.462844
-20.0,295,932.804307
-21.0,273,935.073964
-21.0,261,937.131094
-20.0,290,939.557207
-21.0,300,941.930935
-20.0,333,944.810785
-21.0,328,947.407268
-21.0,270,949.619418
-19.0,379,952.755094
-21.0,288,955.198616
-19.0,364,958.260846
-20.0,293,960.754625
-19.0,318,963.347214
-20.0,287,965.831212
-21.0,261,968.017546
-21.0,263,970.504925
-20.0,362,973.471869
-20.0,296,975.913003
-21.0,275,978.079982
-21.0,313,980.551342
-21.0,294,982.959104
-21.0,319,985.541728
-21.0,276,987.808089
-21.0,292,990.079023
-21.0,252,992.294599
-20.0,286,994.59669
-19.0,336,997.46546
-20.0,398,1000.683825
-21.0,256,1002.839107
-21.0,286,1005.195972
-20.0,272,1007.538769
-20.0,318,1010.060038
-19.0,329,1012.790486
-21.0,302,1015.197365
-20.0,315,1017.779816
-20.0,307,1020.24445
-19.0,302,1022.704543
-19.0,323,1025.241083
-19.0,338,1028.007576
